Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.6415,0.6823,0.4943,0.6685,0.568,0.2733,0.2826,0.73
Decision Tree Classifier,0.5762,0.5754,0.5575,0.5561,0.5567,0.1508,0.1508,0.302
